"title, publication, authors, date, year, month, url, content"
"Asked about evidence of obstruction, Graham says, 'I don't care' | MSNBC",www.msnbc.com,Steve Benen,04-29-2019,2019,4,http://www.msnbc.com/rachel-maddow-show/asked-about-evidence-obstruction-graham-says-i-dont-care,"Republican presidential candidate Sen. Lindsey Graham (R-SC) speaks during the Sunshine Summit conference being held at the Rosen Shingle Creek on Nov. 13, 2015 in Orlando, Fla. Photo by Joe Raedle/Getty Asked about evidence of obstruction, Graham says, ‘I don’t care’ 04/29/19 09:20 AM  Updated 04/29/19 01:57 PM By Steve Benen When Sen. Lindsey Graham (R-S.C.) was Rep. Lindsey Graham (R-S.C.), he helped lead the impeachment effort against then-President Bill Clinton. In the process, the Republican lawmaker established a series of principles he said he believed in, setting benchmarks for lines a president cannot and should not cross.
The trouble, of course, is that Graham has appeared eager of late to ignore those same principles now that there’s a member of his own party in the Oval Office.
On “Face the Nation” yesterday, CBS News’ Margaret Brennan presented the senator with some of his previous statements, leading Graham to try and draw a distinction between Clinton and Donald Trump: “What President Clinton did was interfere in a lawsuit against him by Paula Jones and others; hide the evidence; encourage people to lie. So to me he took the legal system and turned it upside down.”
Of course, this wasn’t exactly helpful to Trump or those eager to carry his water. To read the Mueller report is to know that the current president also took a wide variety of steps to interfere with a federal investigation, including lying and encouraging others to lie.
And yet, Graham quite literally said he doesn’t care .
“I think it’s just all theater. It doesn’t matter. I don’t care what he said to [former White House counsel] Don McGahn. It’s what he did…. I don’t care what they talked about. He didn’t do anything…. I don’t care what happened between him and Don McGahn.”
Despite the findings of Special Counsel Robert Mueller, Graham, added that he considers obstruction allegations against the president to be “ absurd .”
Or put another way, as of yesterday morning, if a Democratic president interferes in a lawsuit and encourages people to lie, that’s an impeachable offense. If a Republican president interferes in a federal investigation and encourages people to lie, that’s trivia – according to the chairman of the Senate Judiciary Committee.
It’s an amazing perspective. Graham didn’t say this explicitly, but the unmistakable takeaway is that he believes Trump attempted to obstruct justice, but he failed to actually do so. The president told the White House counsel to fire the special counsel and lie about it, but since Don McGahn didn’t execute Trump’s wishes, then the whole sordid mess is just “theater.”
I’ll leave it to lawyers to speak to this with more authority, but as best as I can tell, this isn’t how the system is supposed to work. Attempting to interfere with a criminal investigation is itself evidence of obstruction. McGahn’s willingness to ignore a president’s corrupt instructions does not let that president off the hook.
South Carolina’s senior senator, however, has left no doubt that he simply does not care, despite the principles he said he cared about when there was a Democrat in the White House. The Washington Post ’s James Downie added , “Graham is far from the first hypocritical politician. But the South Carolina senator particularly prides himself on being no-nonsense and on his legal experience. That he has opted for such an obvious double standard is especially shameless.”
Explore: The MaddowBlog , Bill Clinton , Donald Trump , Lindsey Graham and Scandals Trump's lies about abortion take an... White House: Trump agreed to pay North... More Like This Best of MSNBC "
Trump's lies about abortion take an alarming and incendiary turn | MSNBC,www.msnbc.com,Steve Benen,04-29-2019,2019,4,http://www.msnbc.com/rachel-maddow-show/trumps-lies-about-abortion-take-alarming-and-incendiary-turn,"By Steve Benen Donald Trump held his latest campaign rally in Green Bay on Saturday night, and as he’s done on several recent occasions, the president focused attention on abortion rights. In this case, the Republican described a very specific scenario:
“The baby is born. The mother meets with the doctor. They take care of the baby. They wrap the baby beautifully. And then the doctor and the mother determine whether or not they will execute the baby.”
The audience, on cue, expressed its disapproval of such conditions, booing loudly, as if their president had told them a gruesome truth.
He hadn’t. In fact, the scenario Trump depicted was ridiculously false. The New York Times published a detailed, albeit understated, fact-check piece , but the bottom line remains the same: there are no instances in which a healthy baby is born, only to be murdered soon after following a chat between a woman and her doctor.
If the White House can point to a single instance in which this has ever happened, anywhere in the United States, officials should feel free to present such an example to the public.
They won’t, because they can’t.
The problem in this case, however, isn’t limited to the obvious fact that the president lied – an alarmingly common occurrence – but rather, it’s the nature of this specific lie that stands out.
In an era in which domestic terrorism is an increasingly deadly societal scourge, it’s dangerous when a sitting American president lies to rabid followers with tales of infants being executed in medical facilities.
Complicating matters, Saturday night was an extreme example, but it was hardly the first example of Team Trump using incendiary rhetoric of late on the issue of reproductive rights.
As regular readers know , it was early last month when House Democrats launched an expansive investigation into presidential abuses, prompting White House Press Secretary Sarah Huckabee Sanders to release an official press statement accusing Dems of trying to “distract” the public from the party’s agenda – which she said includes “killing babies after they’re born.”
Soon after, the president’s chief spokesperson went a little further. Asked about the virtues of possibly lowering the rhetorical temperature in D.C., the president’s chief spokesperson decided to do the opposite .
“Look, I think that the real shame in all of this is that Democrats are perfectly capable of coming together and agreeing on the fact that they’re comfortable ripping babies straight from a mother’s womb or killing a baby after birth,” Sanders said.
The use of the word “comfortable” was of particular interest – as if Democrats agree with the White House press secretary’s incendiary and false rhetoric.
No good can come of this.
Explore: The MaddowBlog , Abortion , Donald Trump and Reproductive Rights"
Sen. Durbin: AG Barr should accountable to committees,www.msnbc.com,msnbc.com,04-29-2019,2019,4,http://www.msnbc.com/morning-joe/watch/sen-durbin-ag-barr-should-accountable-to-committees-1514140227841,"Sen. Dick Durbin, D-Ill. of the Judiciary Committee, discusses new remarks from Sen. Lindsey Graham on the results of the Mueller report. Sen. Durbin also discusses the lack of cooperation from the WH and if he will endorse a Democratic candidate early. April 29, 2019"
Supermajority is a 'new home for women's activism',www.msnbc.com,msnbc.com,04-29-2019,2019,4,http://www.msnbc.com/morning-joe/watch/supermajority-is-a-new-home-for-women-s-activism-1514089539971,"The new national organization Supermajority is aimed at building women's power across the country and drive change around the issues that matter to women. Cecile Richards, Alicia Garza and Ai-Jen Poo join Morning Joe to discuss. April 29, 2019"
Turmoil creates 'crisis' conditions for the NRA | MSNBC,www.msnbc.com,Steve Benen,04-29-2019,2019,4,http://www.msnbc.com/rachel-maddow-show/turmoil-creates-crisis-conditions-the-nra,"By Steve Benen Close video The Rachel Maddow Show, 4/26/19, 10:16 PM ET Federal judge sentences Maria Butina to 18 months in prison Maria Butina, who pled guilty to acting as a Russian operative, was sentenced in federal court today to 18 months in prison. The judge ordered that Butina be deported immediately following the end of her sentence. share tweet email save Embed On Friday afternoon, as the National Rifle Association’s annual national gathering was getting ready to hear from the nation’s president and vice president, Russian agent Maria Butina was sentenced by a federal judge to 18 months in prison . Butina, of course, intended to influence conservative politics and the Republican Party, and she did so largely by focusing her efforts on the NRA.
At face value, that seemed like the sort of development that might’ve left a cloud over the far-right group’s convention. But as developments progressed, the Russian operative’s prison sentence was just the tip of the iceberg. As the Washington Post reported , “The typically bland corporate fare this year exploded with strife, including allegations of extortion, financial mismanagement and a leadership battle that have publicly overtaken all else at the event.”
Former NRA president Oliver North was ousted from the organization Saturday, one day after NRA Executive Vice President Wayne LaPierre issued a letter to the NRA’s board, claiming that North tried to extort him. The battle, which LaPierre appears to have won, was centered on what some claim are exorbitant payments to the group’s outside counsel and a lawsuit the NRA filed against its longtime public relations firm, Ackerman McQueen.
On his way out the door, North, whose resignation was not voluntary, said in his resignation letter that there’s “ a clear crisis ” within the organization.
That seems like a fair assessment. Before his own ouster, North sought LaPierre’s resignation , accusing the group’s longtime leader of financial improprieties, including allegations LaPierre spent more than $200,000 on “wardrobe purchases … that were charged to a vendor.” There are reportedly additional questions surrounding the lack of transparency surrounding the NRA’s contract with Ackerman McQueen.
LaPierre retaliated, told the board North was trying to divide the organization, and North clearly lost the fight. That does not, however, mean the drama is over.
Steve Hart, the NRA’s longtime lawyer, was also suspended over the weekend, and that news coincided with an announcement from New York Attorney General Letitia James (D), whose office is now investigating the NRA’s tax-exempt status .
The NRA’s full board of directors is scheduled to meet today . Evidently, the board’s 76 members will have quite a few decisions to make – including choosing a new president to replace North.
 , NRA and Wayne LaPierre"
Joe to Trump: You can call out white nationalism,www.msnbc.com,msnbc.com,04-29-2019,2019,4,http://www.msnbc.com/morning-joe/watch/joe-to-trump-you-can-call-out-white-nationalism-1514085443746,"The president on Friday accused Democrats and the intel community of attempting a coup in the form of the special counsel's investigation and said he didn't need a gun to fend it off. Joe Scarborough reacts to Trump's remarks and to new reporting on the NRA. April 29, 2019"
"Don't look at synagogue attack as a one-off, says expert",www.msnbc.com,msnbc.com,04-29-2019,2019,4,http://www.msnbc.com/morning-joe/watch/don-t-look-at-synagogue-attack-as-a-one-off-says-expert-1514071107624,"A 19-year-old man walked into a Chabad synagogue near San Diego, California on Saturday and opened fire with AR-type assault weapon, leaving one woman dead and three other people injured on the last day of Passover. April 29, 2019"
Biden picks up endorsement of Fire Fighters union,www.msnbc.com,msnbc.com,04-29-2019,2019,4,http://www.msnbc.com/morning-joe/watch/biden-picks-up-endorsement-of-fire-fighters-union-1514066499732,"In an exclusive interview, Harold Schaitberger, the General President of the International Association of Fire Fighters, discusses why 2020 candidate and former VP Joe Biden gets the union's endorsement. April 29, 2019"
Attorney General Barr threatens to skip House hearing,www.msnbc.com,msnbc.com,04-29-2019,2019,4,http://www.msnbc.com/stephanie-ruhle/watch/attorney-general-barr-threatens-to-skip-house-hearing-1514325059672,"The Trump administration is ramping up its refusal to cooperate with Congress as Attorney General Bill Barr threatens not to testify before the House Judiciary Committee. Stephanie Ruhle is joined by University of Alabama Law Professor Joyce Vance, MSNBC Justice and Security Analyst Matt Miller, and the New York Times’ Ken Vogel, to discuss why Barr is objecting to lawyers asking questions. April 29, 2019"
Morning Joe remembers Sen. Richard Lugar,www.msnbc.com,msnbc.com,04-29-2019,2019,4,http://www.msnbc.com/morning-joe/watch/morning-joe-remembers-sen-richard-lugar-1514355267803,"Former Indiana Sen. Richard Lugar died Sunday at the age of 87. Lugar served in the U.S. Senate for 36 years. The Morning Joe panel remembers Lugar. April 29, 2019"
